User Name,Number of Reviews by User,RfnDt 2,Time When reviewed,Reviews
E OTuama,3 reviews,,3 years ago,"Went to this PO at 1 pm on a weekend. There was no one there except for 2 employees (middle aged man and woman). The woman was impatient, unhelpful, and rude. The rate she quoted for sending a package seemed pricey to me. I went to the Tim …"
chris dupuis,· 45 reviews,Local Guide,2 years ago,"Went in with a stack of oversized lettermail (all DVD's, all the same size), the male employee behind the counter checks the first one and throws it back at me saying ""parcel"" (keep in mind they are all the same size, they are all standard …"
Michael Wong,2 reviews,,4 years ago,"The absolute worst customer service experience I have ever had. The lady I spoke with was extremely rude, condescending and disrespectful. Based on the other reviews here, it seems like she is not the only incompetent employee at this …"
Ali C,22 reviews,,5 years ago,"Cannot speak for any other employees or customer experiences, but Sergio served me and he was so helpful and friendly. Not only did he spend extra time to explain and print out for me a sheet on mailing parcels within Canada, but he took …"
mlh,9 reviews,,4 years ago,I came all the way from Hamilton to collect my passport just to learn that the place is closed due to computer issues. Why do you close the whole post office for this! They didnt even show in Maps that the place is closed during business …
Shantana T,6 reviews,,2 years ago,I came in before close and was really disappointed to see the employee decided to close early. When I pointed out it was before close time all the employee said was Well I turned off my system so we are closed. There was more than enough time to help and it’s not as if anyone else was lined up.
Tarek Alward,· 90 reviews,Local Guide,a year ago,Couldn’t agree more with the other reviews about the staff’s attitude here. Very unwelcoming and make you feel like a burden. …
Taylor Royal,7 reviews,,8 months ago,"Horribly rude people. I got warned not to go here by another Canada Post location, can someone hire some decent people please?"
Nawras Abureehan,· 49 reviews,Local Guide,10 months ago,"Seems everything have completely changed now. A new person is in place, he was super polite and helpful."
Omer Abubakr,4 reviews,,2 years ago,"The worst post office, a total waster your money , the mail will not arrive Internationally that is a FACT, try any other post office , I had the worst experience, and in the end my mail was lost and they didn’t refund me my money, I mean it. I will never let any one I know deal with this office. What a shame 😭😭😭😭 …"
D.B,2 reviews,,3 years ago,"Rude staff, the lady had bad attitude for no reason. Hate to say it but probably  best to get AI or something to replace the clerks at this place. 2 bad reviews in the same hour is really saying something."
Emma XXX,· 19 reviews,Local Guide,5 years ago,There is one man in particular who works here who is INCREDIBLY rude! I was shocked to overhear him literally yell at a customer who wanted to check her PO box... just disgusting behaviour. Avoid this place if possible. Every time I have gone through this location this man is just a terror.
Andy Fitzgerald,1 review,,5 years ago,"Clear your calendar before going into this post office.  I once watched a person packaging (sealing and taping) one small box at a time on the counter, while the employee waited for them to do each one while not helping anyone else.  The customer had at least 50 small boxes.  The line was nearly out the door while this was happening."
Julia Sobkowicz,2 reviews,,5 years ago,"every damn time i go here, they are rude beyond belief and for no reason. The employees could not be less interested in helping you, they will purposefully advise you to purchase incorrect packaging and drag their feet about everything"
Neal Chauhan,· 413 reviews,Local Guide,a year ago,Really nice staff! I mailed out a parcel for a Secret Santa and they were super kind :)
Magdalena McCreary,8 reviews,,2 years ago,"I always have a good experience, very pleasant agents, my items go in time, they give my dog treats, he loves it."
Anastasia F,· 35 reviews,Local Guide,5 years ago,Unfriendly staff. I dropped off my package this morning and the clerk was rude to me. Not a pleasant experience every time I go to this postal office.
Coding Team,· 14 reviews,Local Guide,3 years ago,"So bad attitude and zero customer service .I need to pick up my passport,I have id from (post graduation).They are asking me Id,i am saying I don’t have any only this one ,I am international student .They are saying go find someone who has …"
Chris Tew,4 reviews,,4 years ago,"Everyone here is great, go here 2-3 times a week to mail stuff off. 99.99% of the shipments get to where they’re going. Always pleasant"
Manish Shah,· 110 reviews,Local Guide,7 years ago,"Huge Canada Post location in a busy busy downtown area - Located on Spadina & Adelaide intersection - complete collection of all postage accessories , mail boxes, stationery items. …"
Yea,1 review,,3 years ago,"If I can give a no star, I will definitely go for it.
The old man didn't help at all and his attitude was like someone owed his money."
Coding Team,· 14 reviews,Local Guide,3 years ago,"So bad attitude and zero customer service .I need to pick up my passport,I have id from (post graduation).They are asking me Id,i am saying I don’t have any only this one ,I am international student .They are saying go find someone who has id.It is privacy.I don’t understand 1 thing ,it is my passport someone why needs to be responsible?!so worst customer service and bad attitude specially old man .Doesnt care anything .Employee is supposed to be take care always customer !!!if you don’t know go learn it.I Have spent my day in here almost 2-3 hours to wait my friend.I think it is my first and last time .I will not recommend to everyone and my friends too!!!!!"
Andre Levesque,· 77 reviews,Local Guide,5 years ago,I’d like to think the reason the person at the counter was less than pleasant was because it was busy.
Dian Jia,3 reviews,,4 years ago,Please notice that the door is still closed due to the reason written on the paper.
Shady Hanna,· 21 reviews,Local Guide,5 years ago,"Worst customer service I’ve ever experienced. Don’t bother walking in there, I’d give 0 stars if I can"
NevetsSetab,1 review,,4 years ago,"Always fast, friendly, I like that staff here and the location is super convenient!"
jan stenko,· 627 reviews,Local Guide,4 years ago,I was satisfied. The ladies working here were positive and smiling.
Olga F,· 36 reviews,Local Guide,3 years ago,Man with beard is rude. Looks like he hates his job and customers
Wilmar Hurtado,4 reviews,,2 years ago,The worst service ever. No customer service at all.
Lizi Z,2 reviews,,4 years ago,Shipping for one month but didn’t get the thing yet.
Rachel,· 55 reviews,Local Guide,2 years ago,Provided wrong information on shipping costs
Andre Marto,· 38 reviews,Local Guide,3 years ago,Always so friendly at this location
Sagar Bardai,· 100 reviews,Local Guide,2 years ago,very friendly service.
Zhaoyang Wang,3 reviews,,5 years ago,Keep your package away from the dirty hands.
Seyed Hoseini,· 32 reviews,Local Guide,2 years ago,Very rude guy unporofesional
Keira,3 reviews,,3 years ago,damn bad
Bachir EL-Smadi,9 reviews,,4 years ago,Always top notch service !
Qin Shao,2 reviews,,4 years ago,What a fucking idiot 🙄️ I …
Melissa Stella,· 48 reviews,Local Guide,4 years ago,
Graham O'Hanlon,4 reviews,,4 years ago,
Riho,2 reviews,,3 years ago,
Aaron Tang,3 reviews,,6 years ago,
J Yu,6 reviews,,3 years ago,
Candice Yablan,3 reviews,,2 years ago,
Mary Espiritu,,,a year ago,
Peter Galactic,· 63 reviews,Local Guide,10 months ago,
Anne Amores,2 reviews,,3 years ago,
Phoenix W,7 reviews,,5 years ago,
Fernanda Akemi,8 reviews,,a month ago,
Francisco Alcayaga Motta,,,3 years ago,
Farah S Noshirwani,· 8 reviews,Local Guide,4 years ago,
The6ixGaming,,,4 years ago,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Yucheng Wei,1 review,,2 months ago,"The OLD ASIAN FEMALE WITH WHITE HAIR has the WORST customer service I’ve ever had in Canada. She doesn’t even have proper HUMAN MANNER. Very rude, very disrespectful, she doesn’t know how to talk like a normal person and what is respect to …"
TorontoPaul10,12 reviews,,2 weeks ago,Use this location frequently both for sending and receiving packages.  Never had a bad experience with any of the staff including the older Asian woman so many reviewers seem to dislike. …
Maya P,· 35 reviews,Local Guide,3 months ago,"the best canada post location in downtown toronto, the workers move fast and are very efficient and kind. I particularly love Tess and Helen; they are always so sweet and personable. …"
kavita garg,4 reviews,,4 months ago,"I had a really good experience here. I was sending off 8 packages - each weighing around 20 kgs.. and the staff there was super helpful, patient, and quick! Thank you Tess and her team!"
Peter Nu,· 186 reviews,Local Guide,2 months ago,"Terrible customer service, the employee Saturday March 4, 2023 has no idea what they are doing. Making you pay extra for packing and filling out custom forms when all that is needed is more stamps on the envelope."
Carilynn L,· 22 reviews,Local Guide,6 months ago,Haven’t been to a post office in some time to buy stamps. Thought it would be slow at 5:30pm on a Monday but I was pleasantly surprised. A cheery staff person (Teresita) greeted me and recommended that I buy the booklet of 12 stamps with the cardinals on them. The cardinal stamps are pretty cute.
Rishabh Chhikara,2 reviews,,2 months ago,Do not visit this place. The kinda older Asian lady’s attitude is absolutely pathetic. She’s really arrogant and rude. Has no idea what customer service is about.
Lichen Liu,10 reviews,,2 months ago,"Very weird. Very bad attitude, they seem trying to hide something, don’t even allow you to take a selfie. Avoid at all cost."
Emily L,· 115 reviews,Local Guide,2 years ago,Very convenient self serve parcel drop off service at the An additional 10% discount available.
Marc Morisset,· 78 reviews,Local Guide,9 months ago,"I was in there this morning to drop off a package, the lady at the counter was very kind and efficient. I went to this particular post office because it is the only one in my neighbourhood that opens at 8 AM on weekdays. It's located in a Shopper's Drug Mart that's open 24/7."
,,,,
,,,,
,,,,
,,,,
,,,,
Manish Shah,· 110 reviews,Local Guide,7 years ago,"Huge Canada Post location in a busy busy downtown area - Located on Spadina & Adelaide intersection - complete collection of all postage accessories , mail boxes, stationery items.
special holiday collection also available - paid street parking is available on Spadina Ave & near by parking lots"
Agnès,10 reviews,,a month ago,"ZÉRO COMPÉTENCE.
I sent a letter with full address that came back to me a month after. Reason : address incomplete. The woman here told me she don’t know why the letter came …"
Jo We,7 reviews,,9 months ago,"super slow…therefore long line
ups. Not open when the website says it is
supposed to be open. Mailbox is taped off …"
maha ghoush,31 reviews,,10 months ago,"My favourite Canada Post location. All the staff are very professional and helpful but Shane takes customer service to a whole new level. I always leave with a smile on my face. He has such a kind, gentle, and warm aura about him that makes a visit to the post office an experience you actually look forward to!"
Alice Kim,10 reviews,,a year ago,"It’s not often you get great service when there’s a huge line at any business. The male clerk with the buzzed hair and glasses was super friendly, quick, efficient, and thorough. I go to Canada Post often (between three downtown locations) and this was probably the best and most pleasant experience!"
Akash Sood,· 38 reviews,Local Guide,a year ago,"Shane is an extraordinary asset to Canada Post and provides an amazing customer experience. Friendly, efficient and always provides service with a smile. He is also very knowledgeable on all processes, policies and procedures - rare for a Canada Post retail employee."
Sarah Ng,9 reviews,,a year ago,"Shane is the best. He's kind, patient, doesn't rush you and is quick. His calm and kind demeanour makes you look forward to going to the post office!"
Shelby,6 reviews,,a year ago,Not one to leave reviews but Shane was just so nice I had to leave one. He was nothing but a sweetheart helping me with an Amazon return and I very much appreciated his upbeat attitude and great customer service!
emma cheng,2 reviews,,a year ago,"Amazing service by Shane at this location! Helped me with a huge package and then helped me get the tracking number the next day when I lost my receipt, great customer service!"
Tara,19 reviews,,6 months ago,"Staff there are super nice, best Canada Post site!"
Nine Nine,6 reviews,,2 years ago,"You have someone working for you that just leaves the package in the mail room where anyone can just take the package away. I added delivery instructions through amazon, same thing. Previously whoever is doing it wouldn't bother delivering …"
,,,,
AHA W,"· 1,692 reviews",Local Guide,a year ago,The very first post office of Canada， one of the interesting point for city walking tour.
Renee Wong,8 reviews,,7 months ago,A hidden gem in downtown Toronto where you can actually write your letters with ink and seal with wax! (Better practice your cursives tho😂) There is a variety of vintage postal merchandise and stationary available for purchase as well. The …
Kirstie,· 162 reviews,Local Guide,3 years ago,"This historical building and small museum is super cute. The staff are very polite, helpful and welcoming. Takes me back to when I was a kid making our weekly mail pick up❤"
Kyla Campbell,4 reviews,,5 months ago,Woman with the black hair and glasses was incredibly rude/ignorant to myself + older lady. Trying to make your paying customers feel dumb is not quality customer service. People like this shouldn’t be in the roles they’re in.
Kartik Rajagopalan,· 55 reviews,Local Guide,2 months ago,Smooth operation. Clean and vintage location. Really helpful and pleasant staff member at the front desk. Thank you and sorry I didn't ask for your name.
Daniel Leon,2 reviews,,5 months ago,"Beautiful post office with old stuff, the staff is always nice and polite"
Rachael Harrison,5 reviews,,a year ago,"It's a cute place (and I enjoy the museum), but the staff here are much less helpful than a typical location inside a Shoppers for example. To be more specific: I can walk into a Shoppers location and tell the clerk what I am trying to …"
Anirban Das Deb,· 50 reviews,Local Guide,4 months ago,Marvellous and cozy little post office. The cheerful lady at the counter was super helpful!
Nicole Rodriguez,1 review,,2 months ago,Literally closed the doors minutes early and refused to let me pick up my package. Terrible location.
Derek McEachnie,3 reviews,,10 months ago,I went to this post office to mail a letter. They mailed my letter. My letter got delivered. It was a great day. Maybe someday I will get a letter. Maybe even from this post office. That would surely be another great day. 🙂 …
jacqueline lee,· 24 reviews,Local Guide,4 years ago,"Small operation with one staff. She was friendly and quick. Hopefully the postcards get to where they need to - bouncing off previous comment. I’m sure it will :)

Cute little space with old desks and chairs. Sign in book and vintage postcards as part of very modest attached post office museum.

**UPDATE** All recipients received their mail :)"
Ned Dimitrov,· 90 reviews,Local Guide,4 years ago,Great post office. A museum and a working post office all in one. Nice place to mail things or buy mail related gifts.
Samad Kadri,· 346 reviews,Local Guide,3 years ago,Toronto’s first Post Office! Pretty cool location with a tiny museum inside as well.
Fahad Khan,· 52 reviews,Local Guide,3 years ago,First post office of Toronto and oldest currently operating post office In Canada. Wow!
Casey Banner,· 11 reviews,Local Guide,3 years ago,Amazing and friendly service here! Best Canada Post location in Toronto!
Kyle Skiffington,2 reviews,,5 years ago,Mailed one of my parcels to a wrong addrezs
Karam Nazer,1 review,,4 years ago,Fast and Historical lovely 🍁 …
Lauro Araujo,8 reviews,,3 years ago,
Lana Gagnon,62 reviews,,2 years ago,
Stephanie Feliciano,5 reviews,,2 years ago,
jacqueline lee,· 24 reviews,Local Guide,4 years ago,Small operation with one staff. She was friendly and quick. Hopefully the postcards get to where they need to - bouncing off previous comment. I’m sure it will :) …
,,,,
Meng Mandy,1 review,,2 weeks ago,"Rude stuff and bad service, give you attitude and treat you like trash."
Perry Metivier Grant,24 reviews,,10 months ago,Very shotty service. I have not had an issue in quite some time but today was just pure laziness. Instead of coming up to my unit this driver chose to write a pickup slip and post it on my mailbox. Actually entering my building. I was home …
Kosta Tzemis,19 reviews,,a year ago,"If i could put lower than one star I would. It comes down to being a machine or being a human, and they’re all machines who work at Canada post. People that don’t care about you or your items. Drivers don’t care. Don’t care on the doing the …"
Max Strife,2 reviews,,3 months ago,Good spot on the way through the PATH.  Convenient and easy.
Cess Yu,· 46 reviews,Local Guide,4 months ago,Blonde lady at the counter was really rude :(
TI,24 reviews,,2 months ago,Make sure to check their holiday schedule
Pradhyum Chaudhari,2 reviews,,a week ago,Rude people bad experience
Dana Ball,3 reviews,,5 years ago,Terrible service. Went there to mail my wedding invitations and the two ladies working were chatting away. One looked at me as I walked up to the counter and then just continued their conversion and walked to the back room without saying …
Joel C,· 67 reviews,Local Guide,5 years ago,"Delivery to this postal office due to convince as no one home during day. The Good: staff friendly. The Bad: Sometimes no email reminder that item was received, and returns after 10days if no pickup."
Eleni Teshome,3 reviews,,a month ago,They are too late to deliver
Sumika Singh,51 reviews,,4 years ago,"Required documents to be shipped urgently for next day delivery, I was provided incorrect advice by the assistant and was told to use 'XpressPost' which has a 2 day turnaround. However from the Canada Post website, I see that a 'Priority' …"
David N,1 review,,3 weeks ago,Very rude behavior
A Lyl,· 98 reviews,Local Guide,5 years ago,"Very RUDE staff. One of the clerk, the brunette lady around noon today doesn't even deserve to work in a job that faces customers directly. So RUDE"
Kimberley Nguyen,· 77 reviews,Local Guide,4 years ago,This Canada Post location is located conveniently in the First Canadian Place. I frequent this location often as it's right by my workplace. …
Yudi Estor,2 reviews,,3 years ago,XPresspost 2 day delivery is a scam. Didn't deliver XPresspost doc from Mississauga to downtown for a WEEK!!!
Tom Gee,· 119 reviews,Local Guide,4 years ago,"Friendly, patient and willing to clearly explain all the needed steps for a complex couple of packages."
Voogle Industries,34 reviews,,4 years ago,"Wednesday 28, 2:30pm
You may want to let go of the old miserable lady in the “customer service” role"
Annaniki,· 51 reviews,Local Guide,5 years ago,"Fast,quick and efficient service"
Alicia Tang,1 review,,a year ago,Awful attitude!
Raja Wahid Ali,5 reviews,,7 years ago,Raja Wahid Ali
Jeff Leger,3 reviews,,4 years ago,Good Service
Alina Pavlova,5 reviews,,4 years ago,Hate Canada Post!!!!!
JIANING LI,1 review,,9 hours ago,Extremely rude and unknowledgeable staff
Rahul Jayswal,1 review,,3 years ago,
Lira Nadira,,,2 years ago,
Jamal Sadiq,,,6 years ago,
Bret Nestor,10 reviews,,9 months ago,
Elena,1 review,,2 years ago,
Zohreh Hosseinaee,1 review,,a year ago,
Mary Goulding,,,6 years ago,
,,,,
LocalGuide10 Q,· 28 reviews,Local Guide,8 months ago,"When I asked to speak to supervisor they refused to come out of their office, the clerk called them twice I need to address the health and safety concern. The glass doors are closed at 10:42 AM on September 28, 2022."
Yiyang Zhu,3 reviews,,2 days ago,"I picked up my passport from US consulate at this post office, and the experience was HORRIBLE. My California driver's license with my address on it was not a ""proof of address"" to the guy I talked to. I knew for sure that all I need to …"
Chenlong Hsieh,10 reviews,,2 months ago,"The experience is like: you are treated like you owe every single employee at this branch 1 million dollars. The white guy, about 40-50 years old, looks like a manager. checked my ID 3 separate times I think this is called racial profiling. …"
Andrew _,9 reviews,,3 weeks ago,The service here is frankly terrible. The staff are rude and show no interest in helping customers. Go to any other location if you can.
Andrew Scarff,4 reviews,,9 months ago,"Worst service ever. Asked them to check a pr number provided by rogers to confirm what I needs to be provide vs what's included with the pre paid return (due to mixed info from rogers vs the post office)  clerk refused to check, when I …"
Mecale Wallenda,6 reviews,,a year ago,"The staff at this branch are so surly and unfriendly, it makes the experience very unpleasant and immediately puts me in a bad mood. Clearly I'm not the only one who has experienced this - something should be done. 1 star is generous"
Vanessa Dadoun,3 reviews,,11 months ago,"Very rude and unpleasant service. There were 3 employees, one was extremely rude, the second was making him feel good and no one was serving the customers."
Yayy Shsu,2 reviews,,a year ago,"I had a poor and extremely rude customer service experience from a gentleman there, looks like he’s even the manager there. Never received a poor service like that in years, very disappointed!"
Karin Parna,· 78 reviews,Local Guide,2 years ago,Poor customer service. Ridiculously slow compared to other companies and will not deliver to your door.   Standard is to send medications to community mailbox apparently which are liquid and can freeze.  When I am non mobile and should be …
Nicole S,2 reviews,,2 years ago,"The service is mediocre at best. I had a prepaid shipping label but needed to buy a bag for shipping from Canada Post. After paying for the shipping bag, I asked if they have some tape to help secure the label (I had brought tape with me …"
Karanjot Singh,34 reviews,,7 months ago,Worst location doesn’t matter how many documents you have they still send you back to get and find the 1st grade report card 🤬 …
Priyanshi Buvariya,8 reviews,,a year ago,"Lazy, unfocused, unskilled, arrogant that's all I would say for the entire team.
None of them know what they are doing. …"
Cathryn Honschar,12 reviews,,a year ago,"Also had a poor customer service experience at this location today. I took the survey on my receipt, which I suggest if anyone else also has a bad experience here."
Bryn Davis Williams,17 reviews,,a year ago,"Super lovely, helpful, knowledgeable staff!! And this location is open an hour before Shoppers Drug Mart offices."
Noble N.,1 review,,2 years ago,Very disappointed! Rude and insufficient staffs! Obviously very unhappy with their job and no idea about customer care. I read similar reviews below and I'm surprised that nobody has taken any action to fix this issue yet! wow!
LIDZ,· 50 reviews,Local Guide,2 years ago,"I would have given less than one, if I could! Very rude, and aggressive personnel. Also, be careful as they may charge you for services that they basically don't do. Terrible experience!"
Andre Zo,3 reviews,,2 years ago,"Today 2020.11.04 tried to purchase several stamps, requested stickers, was refused, requested the name of the cashier, she refused to provide it, asked to speak to the manager, was refused, asked co-worker for help, asked for only one …"
Shouko Ayala,6 reviews,,a year ago,"Amazing poeple, guy with glasses was really engaging. Cheap prices! Best in the market."
rakshith ss,5 reviews,,a week ago,HORRIBLE customer service!
Ricardo Alexis Pillaca Burga,11 reviews,,3 years ago,I don't understand why this office has such a bad rating. I went here cause is the closest one to my office and the lady there was super helpful.
Voogle Industries,34 reviews,,4 years ago,"Are all Canada Post employees miserable?? It’s unbelievable. They behave like they can’t get fired, probably because they can’t!"
Nikhil L,5 reviews,,4 years ago,"Flex delivery won't tell you package is ready to be picked up , at this particular location! Also staff is useless if you have any questions."
Arnaud Richard,6 reviews,,a year ago,They closed half an hour earlier than they were supposed to while I was waiting at the door
Tom Herren,· 22 reviews,Local Guide,3 years ago,Miserable staff. Always feel like I'm inconveniencing them when I need to ship a package.
Eros MC,· 77 reviews,Local Guide,2 years ago,"Overcharged for stamps, receipt refused, staff not wearing PPE"
kyle smile,6 reviews,,9 months ago,"Won't be back, terrible location!"
Arnia James,5 reviews,,4 years ago,"Terrible service. Staff is very rude, slow and not helpful"
Yash Gajiwala,13 reviews,,a year ago,Very helpful staff.
Ken Akai,· 211 reviews,Local Guide,5 years ago,Standard services you would expect to find.
Rutuja A,· 15 reviews,Local Guide,3 years ago,unfriendly and unhelpful staff
Thijs Teunissen,· 77 reviews,Local Guide,4 years ago,"Unhelpful, bad English and unfriendly"
Ronald Lira,2 reviews,,3 years ago,Very unhelpful staff
Denny,12 reviews,,3 years ago,Terrible customer service
Derek Zhan,· 40 reviews,Local Guide,4 years ago,
Simon Kingston,1 review,,3 years ago,
Farzeen Ahmed,· 4 reviews,Local Guide,a year ago,
whimSYZ,,,3 years ago,
Artur Delta6,5 reviews,,a week ago,"Says open - ""hours may vary on a holiday""  If your closed please notify google with proper hours.   Instead customers will arrive with packages and then be sent home with packages."
Jos Y,57 reviews,,4 months ago,"Came here to do an Amazon return, I had a picture of the label and asked if they could print it. Said no, so I had to go and print it myself elsewhere and came back with it. I asked them if they had tape for the label and they just said …"
eggie dee,· 89 reviews,Local Guide,2 weeks ago,staff in general are really nice here! they're friendly and efficient even on the busiest days!!
Mega K,3 reviews,,3 years ago,Come regularly twice a week at night time. The gentle man who is really friendly and helpful. …
Megan Chown,6 reviews,,6 years ago,I stopped in at this Post Office located in Shoppers to mail my wedding invitations tonight. The two associated working there tonight were SO wonderful. I didn't want to lick all of the envelopes (for obvious reasons) so they helped me dab …
Kristin Kelly,· 49 reviews,Local Guide,2 years ago,Kevin always provides great customer service at Canada Post. He is very friendly and handles every transaction with ease.
Candice Beaton,8 reviews,,4 years ago,Lied about not being able to take in my package for delivery because of its contents. Looked it up on Canada Post website and their rules said the contents could be delivered. Went to another Canada Post location (Spadina) and they took it in just fine. Really not impressed.
brighto,· 22 reviews,Local Guide,3 years ago,"Best Canada Post ever, so friendly and was really helpful

I wanted to send two big boxes and this person working there named Dev was …"
christine,9 reviews,,3 years ago,"it was fast service, the worker was nice but my only issue was the pricing it was a bit higher then usual."
Leigh Rose,· 126 reviews,Local Guide,6 years ago,Haven't had a problem with this Canada post outlet. Had my package 📦 ready for me to pick up. Always friendly. …
DK Chen,· 82 reviews,Local Guide,6 years ago,always very prompt and good service. Staff are really helpful and offer good advice how to post in the most economic way
Waseem Tahir,8 reviews,,2 years ago,"Great service even in covid-19  Pandemic on Sunday they are open , Highly appreciated 👍 Respect …"
Michel “Blue” CQ,· 5 reviews,Local Guide,5 years ago,Fast and helpful staff. Even looked up the correct postal code for me when the one I wrote down was incorrect. My go to post office.
Danielle Rainey,· 75 reviews,Local Guide,4 years ago,Very friendly and understanding staff.
J J,· 51 reviews,Local Guide,3 years ago,Worst customer service out of any Canada Post I’ve been to. Everyone working there looks miserable and are really rude.
Hugo Filipe,· 48 reviews,Local Guide,6 years ago,"Constantly having issues when picking up packages - hard time locating them, not in on time etc."
Voogle Industries,34 reviews,,a year ago,"Nice staff, good service"
Andrew Au,· 252 reviews,Local Guide,6 years ago,Great service and fast
J M,· 11 reviews,Local Guide,3 years ago,Great Customer Service
angela thomas,4 reviews,,8 years ago,Great staff
Jay N,33 reviews,,2 months ago,"Terrible support service.  Cannot speak to a ""human"" about a delivery problem.  Hence pkg never came"
Mushtaq Chaudhary,10 reviews,,a year ago,"Very baddest experience about mailing from July, 2021 i couldn't got my mail in my apartment mail box.
I am sick and on the wheelchair and live alone and not able to go on 675 com …"
Sister Sheena B Downey,4 reviews,,4 months ago,I have no problems with there always on point
Matthew Seepersad,7 reviews,,3 years ago,"Constant notices left on my door without a knock or the doorbell being rung.

Has occured multiple times and I've watched employees walk up to my door and …"
Celine,10 reviews,,4 years ago,Garbage!! From A to Z The post agent assumed you are not home so most of the time they just left a notice without the packet in their truck! They lost many package! We live in a new condo they even don't let us know that they won't deliver …
Don Post,· 36 reviews,Local Guide,4 years ago,"Just the nail processing plant.
There is a drive up mail box if you want the mail to be at the sortation early.
Very convenient"
Nadine Stefoff,· 194 reviews,Local Guide,3 years ago,"I have not been too happy lately with parcel delivery. I've been home, no bell has been rung...but a notice left on my door. Frustrating"
D C,· 47 reviews,Local Guide,4 years ago,I picked up some mail and dropped off empty trays. It was very quick and postal worker was very nice and very helpful.
Ambassador 4 Brands,3 reviews,,3 years ago,The supervisor on commissioner Street was very helpful great customer service.
Carlos Quintero,· 52 reviews,Local Guide,5 years ago,The best an affordable delivery company. I recommend the company
Jared “Stoner” Miller,71 reviews,,a year ago,Not busy
Junaid Sultan,· 41 reviews,Local Guide,4 years ago,Best work place in the world
John Arsenault,· 72 reviews,Local Guide,5 years ago,Ok
S.C,· 43 reviews,Local Guide,6 years ago,Service is slow.
Nathan Rubner,11 reviews,,6 years ago,Good
Kofi Graves,2 reviews,,5 years ago,I live it.
Gurvir Jugday,· 12 reviews,Local Guide,4 years ago,
Hasan Sumon,· 16 reviews,Local Guide,5 years ago,
colin zuo,· 146 reviews,Local Guide,5 years ago,
Jeffrey Watson,41 reviews,,3 years ago,
Daile Robertson,14 reviews,,5 years ago,
Andrew Allenwood,· 74 reviews,Local Guide,6 years ago,
Tmi019 Tmi,· 11 reviews,Local Guide,5 years ago,
jean petrol,· 207 reviews,Local Guide,5 years ago,
arshia mahmoodi,6 reviews,,3 years ago,
Rajesh Kusumanchi,1 review,,3 years ago,
Chetna Mahajan,1 review,,10 months ago,
JD Karab,· 31 reviews,Local Guide,4 years ago,
Dirk E,14 reviews,,3 years ago,
Francis Doyle,· 127 reviews,Local Guide,4 years ago,
,,,,
Blake Wallace,· 13 reviews,Local Guide,3 weeks ago,"Everytime I come to this location I have to wait upwards of 20 mins, it’s gotten absurd."
Jon Gray,4 reviews,,9 months ago,"Friendly staff, always help me find best value on shipping rates.
Line up can be long but that is common at most CP locations"
THUNDER CLOUD,6 reviews,,2 years ago,"This Canada Post Office inside Shoppers is convienienltly located.
♿ Accesible enrtrance at the corner of Queen Street East & Parliament Street on South side of Queen Street in Historic Corktown. …"
Joel Rose,· 172 reviews,Local Guide,5 years ago,"I've been there many times and haven't had any issues. The guy tonight (Jin?) was friendly and dropped everything to assist me. There's parking, which is helpful if you're picking up big heavy items. I use this as my Amazon pickup point."
Sandy V,· 30 reviews,Local Guide,4 years ago,Went today to pick up my LUSH package. They claim there are technical issues and they are waiting for someone to get a computer fixed. I called Canada Post and they are unaware of this outage. Is this even a real Canada Post location? Like …
Olga Perron,14 reviews,,2 years ago,"Just went here for some regular old postage stamps. I had to explain what postage stamps were, it seems they haven't heard of them before?? After some talking she grabbed a ripped a role of these bad boys (in picture) from under the table. This is what I got, not used or anything yet. Okay??"
Ben J,· 119 reviews,Local Guide,5 years ago,"Disgusting customer service. Rude, agressive and hostile customer service at Canada post point. Complaint to be made following review. Avoid this location and mayla I believe her name was at all costs. …"
Nasir Ismailsoy,26 reviews,,2 years ago,"It’s the second time that I’ve sent the application to the CIC by express post.
they told me that it will take 2-3 business days but the first time it took 6 days and this time will take 9 days.
👎👎👎👎👎 …"
Jing Deng,1 review,,11 months ago,"Extremely rude stuff, I won’t go back here again. The way he talk really mean and disrespectful. GO TO DIFFERENT LOCATIONS."
rajat srivastava,6 reviews,,2 years ago,"They asked security to not let anyone 5 mins before closing. In that case, ideally they should mention it in public hours. Frustrating for people carrying heavy stuffs to post. Disappointing.."
K B,19 reviews,,3 years ago,Great service from the gentleman working this (Sunday) afternoon. Very knowledgeable and was patient with all of my questions! :)
Kushagra Manchanda,2 reviews,,5 years ago,Worst service experience. Everyone working here was not consumer friendly and had no idea what they were doing.
Peter Rezba,· 27 reviews,Local Guide,4 years ago,excellent service...used my phone Canada post email barcode to scan for my delivery.
Lakshmi Ajith,· 21 reviews,Local Guide,2 years ago,Great customer service by jishnu!! Had a pleasant experience from the Canada Post.
Jo Granados (JoGranados Mosaics),6 reviews,,2 years ago,I've tried different Canada Post offices and this one has the most helpful and friendly staff.
Igor K,· 172 reviews,Local Guide,2 years ago,I like how late they are open and the staff is polite and considerate.
Urv Joshi,· 18 reviews,Local Guide,4 years ago,Worst location ever. Got here at 830 to pick up a package and she tried refusing me because it was to last minute. What?!
J Knudson,3 reviews,,a year ago,Very efficient and knowledgeable staff.
